# slave_1_address (ip:port), slave_2_address (ip:port), min_rtt (ns)
10.140.0.124:9103,10.140.0.123:9103,105996
10.140.0.102:9103,10.140.0.113:9103,106319
10.140.0.113:9103,10.140.0.117:9103,106321
10.140.0.130:9103,10.140.0.120:9103,106370
10.140.0.127:9103,10.140.0.119:9103,106440
10.140.0.121:9103,10.140.0.120:9103,106577
10.140.0.123:9103,10.140.0.115:9103,106721
10.140.0.101:9103,10.140.0.119:9103,107131
10.140.0.125:9103,10.140.0.107:9103,107384
10.140.0.123:9103,10.140.0.119:9103,107658
10.140.0.122:9103,10.140.0.116:9103,107889
10.140.0.102:9103,10.140.0.112:9103,107995
10.140.0.111:9103,10.140.0.120:9103,108021
10.140.0.109:9103,10.140.0.114:9103,108353
10.140.0.130:9103,10.140.0.128:9103,108620
10.140.0.103:9103,10.140.0.111:9103,109343
10.140.0.126:9103,10.140.0.111:9103,109402
10.140.0.127:9103,10.140.0.112:9103,109692
10.140.0.101:9103,10.140.0.111:9103,109786
10.140.0.106:9103,10.140.0.116:9103,109895
10.140.0.125:9103,10.140.0.116:9103,109914
10.140.0.108:9103,10.140.0.120:9103,109959
10.140.0.122:9103,10.140.0.119:9103,110046
10.140.0.122:9103,10.140.0.111:9103,110077
10.140.0.109:9103,10.140.0.112:9103,110149
10.140.0.120:9103,10.140.0.111:9103,110202
10.140.0.126:9103,10.140.0.113:9103,110211
10.140.0.101:9103,10.140.0.120:9103,110260
10.140.0.106:9103,10.140.0.119:9103,110305
10.140.0.128:9103,10.140.0.119:9103,110675
10.140.0.105:9103,10.140.0.118:9103,110789
10.140.0.122:9103,10.140.0.120:9103,111081
10.140.0.108:9103,10.140.0.117:9103,111726
10.140.0.108:9103,10.140.0.111:9103,111784
10.140.0.104:9103,10.140.0.120:9103,111840
10.140.0.102:9103,10.140.0.118:9103,111888
10.140.0.127:9103,10.140.0.120:9103,111903
10.140.0.102:9103,10.140.0.115:9103,112166
10.140.0.109:9103,10.140.0.116:9103,112168
10.140.0.107:9103,10.140.0.120:9103,112219
10.140.0.125:9103,10.140.0.120:9103,112702
10.140.0.126:9103,10.140.0.115:9103,113603
10.140.0.102:9103,10.140.0.116:9103,113696
10.140.0.106:9103,10.140.0.115:9103,113959
10.140.0.102:9103,10.140.0.117:9103,114049
10.140.0.107:9103,10.140.0.114:9103,114198
10.140.0.123:9103,10.140.0.116:9103,114255
10.140.0.108:9103,10.140.0.113:9103,114383
10.140.0.107:9103,10.140.0.117:9103,114406
10.140.0.120:9103,10.140.0.113:9103,114439
10.140.0.126:9103,10.140.0.114:9103,114585
10.140.0.130:9103,10.140.0.114:9103,115006
10.140.0.108:9103,10.140.0.119:9103,115076
10.140.0.105:9103,10.140.0.119:9103,115269
10.140.0.129:9103,10.140.0.114:9103,115510
10.140.0.108:9103,10.140.0.115:9103,115591
10.140.0.106:9103,10.140.0.118:9103,115604
10.140.0.122:9103,10.140.0.112:9103,115877
10.140.0.102:9103,10.140.0.114:9103,115997
10.140.0.126:9103,10.140.0.112:9103,116169
10.140.0.104:9103,10.140.0.114:9103,116242
10.140.0.109:9103,10.140.0.119:9103,116414
10.140.0.103:9103,10.140.0.117:9103,116550
10.140.0.109:9103,10.140.0.113:9103,116634
10.140.0.125:9103,10.140.0.113:9103,116892
10.140.0.123:9103,10.140.0.118:9103,117016
10.140.0.130:9103,10.140.0.118:9103,117157
10.140.0.127:9103,10.140.0.115:9103,117189
10.140.0.102:9103,10.140.0.120:9103,117218
10.140.0.128:9103,10.140.0.120:9103,117260
10.140.0.104:9103,10.140.0.112:9103,117281
10.140.0.104:9103,10.140.0.119:9103,117495
10.140.0.126:9103,10.140.0.116:9103,117905
10.140.0.128:9103,10.140.0.117:9103,117926
10.140.0.107:9103,10.140.0.118:9103,118330
10.140.0.125:9103,10.140.0.115:9103,118379
10.140.0.123:9103,10.140.0.117:9103,118697
10.140.0.124:9103,10.140.0.113:9103,118959
10.140.0.130:9103,10.140.0.119:9103,119139
10.140.0.126:9103,10.140.0.117:9103,119147
10.140.0.104:9103,10.140.0.113:9103,120020
10.140.0.125:9103,10.140.0.111:9103,120228
10.140.0.105:9103,10.140.0.112:9103,120858
10.140.0.109:9103,10.140.0.111:9103,121299
10.140.0.101:9103,10.140.0.118:9103,121458
10.140.0.129:9103,10.140.0.111:9103,121669
10.140.0.125:9103,10.140.0.112:9103,121687
10.140.0.120:9103,10.140.0.115:9103,121688
10.140.0.121:9103,10.140.0.118:9103,122293
10.140.0.128:9103,10.140.0.113:9103,122510
10.140.0.108:9103,10.140.0.116:9103,122572
10.140.0.126:9103,10.140.0.118:9103,123284
10.140.0.130:9103,10.140.0.116:9103,123494
10.140.0.121:9103,10.140.0.113:9103,123596
10.140.0.104:9103,10.140.0.111:9103,123643
10.140.0.101:9103,10.140.0.113:9103,123925
10.140.0.123:9103,10.140.0.111:9103,123955
10.140.0.103:9103,10.140.0.114:9103,124182
10.140.0.109:9103,10.140.0.120:9103,124301
10.140.0.102:9103,10.140.0.119:9103,124347
10.140.0.125:9103,10.140.0.118:9103,124534
10.140.0.129:9103,10.140.0.117:9103,124973
10.140.0.121:9103,10.140.0.114:9103,125028
10.140.0.127:9103,10.140.0.116:9103,125336
10.140.0.101:9103,10.140.0.112:9103,125353
10.140.0.122:9103,10.140.0.118:9103,125428
10.140.0.105:9103,10.140.0.116:9103,125641
10.140.0.121:9103,10.140.0.117:9103,125720
10.140.0.121:9103,10.140.0.119:9103,125835
10.140.0.109:9103,10.140.0.117:9103,126028
10.140.0.107:9103,10.140.0.111:9103,126147
10.140.0.124:9103,10.140.0.114:9103,126497
10.140.0.106:9103,10.140.0.120:9103,126529
10.140.0.124:9103,10.140.0.115:9103,126864
10.140.0.106:9103,10.140.0.114:9103,126877
10.140.0.105:9103,10.140.0.113:9103,127560
10.140.0.124:9103,10.140.0.120:9103,127799
10.140.0.124:9103,10.140.0.119:9103,127835
10.140.0.109:9103,10.140.0.115:9103,128089
10.140.0.107:9103,10.140.0.116:9103,128129
10.140.0.114:9103,10.140.0.122:9103,128333
10.140.0.121:9103,10.140.0.111:9103,128464
10.140.0.126:9103,10.140.0.119:9103,128550
10.140.0.124:9103,10.140.0.111:9103,128580
10.140.0.108:9103,10.140.0.118:9103,129015
10.140.0.103:9103,10.140.0.112:9103,129120
10.140.0.122:9103,10.140.0.113:9103,129201
10.140.0.127:9103,10.140.0.118:9103,129336
10.140.0.103:9103,10.140.0.116:9103,129736
10.140.0.125:9103,10.140.0.114:9103,130289
10.140.0.103:9103,10.140.0.113:9103,130579
10.140.0.124:9103,10.140.0.112:9103,130601
10.140.0.126:9103,10.140.0.120:9103,131309
10.140.0.124:9103,10.140.0.116:9103,131312
10.140.0.129:9103,10.140.0.116:9103,131627
10.140.0.121:9103,10.140.0.115:9103,131723
10.140.0.106:9103,10.140.0.113:9103,132004
10.140.0.102:9103,10.140.0.111:9103,132143
10.140.0.121:9103,10.140.0.116:9103,132457
10.140.0.101:9103,10.140.0.115:9103,133081
10.140.0.129:9103,10.140.0.115:9103,133834
10.140.0.105:9103,10.140.0.114:9103,134243
10.140.0.104:9103,10.140.0.118:9103,134352
10.140.0.130:9103,10.140.0.113:9103,134448
10.140.0.129:9103,10.140.0.113:9103,134722
10.140.0.101:9103,10.140.0.117:9103,135274
10.140.0.130:9103,10.140.0.117:9103,135751
10.140.0.130:9103,10.140.0.111:9103,136068
10.140.0.122:9103,10.140.0.117:9103,136907
10.140.0.130:9103,10.140.0.112:9103,137518
10.140.0.105:9103,10.140.0.120:9103,138517
10.140.0.109:9103,10.140.0.118:9103,138904
10.140.0.124:9103,10.140.0.118:9103,139592
10.140.0.128:9103,10.140.0.114:9103,141192
10.140.0.103:9103,10.140.0.120:9103,142626
10.140.0.107:9103,10.140.0.113:9103,143733
10.140.0.106:9103,10.140.0.111:9103,144700
10.140.0.127:9103,10.140.0.111:9103,144743
10.140.0.107:9103,10.140.0.119:9103,145007
10.140.0.118:9103,10.140.0.124:9103,145652
10.140.0.114:9103,10.140.0.118:9103,145720
10.140.0.106:9103,10.140.0.112:9103,146575
10.140.0.122:9103,10.140.0.115:9103,149066
10.140.0.128:9103,10.140.0.112:9103,149721
10.140.0.123:9103,10.140.0.112:9103,155268
10.140.0.104:9103,10.140.0.116:9103,158326
10.140.0.107:9103,10.140.0.112:9103,163475
10.140.0.128:9103,10.140.0.115:9103,165004
10.140.0.105:9103,10.140.0.117:9103,166660
10.140.0.114:9103,10.140.0.117:9103,166876
10.140.0.121:9103,10.140.0.112:9103,276402
10.140.0.115:9103,10.140.0.105:9103,396629
10.140.0.113:9103,10.140.0.101:9103,985155
